,card name,expansion,rarity,converted mana cost,colourless mana,coloured mana,main type,sub type,power,toughness,abilities-1,abilities-2,flavour text-1,flavour text-2,card no,artist,avg price ($),market price ($),foil avg ($),foil price ($),img url
10,Aetherstream Leopard,Aether Revolt,"
Common",3,2,Green,Creature , Cat,2,3,Trample, ,,,103,Winona Nelson,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423770&type=card
11,Aethertide Whale,Aether Revolt,"
Rare",6,4,"Blue, Blue",Creature , Whale,6,4,Flying, ,"""To survive up here, I've learned when to use my harpoon and when to just enjoy the view.""",,27,Steven Belledin,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423694&type=card
12,Aetherwind Basker,Aether Revolt,"
Mythic Rare",7,4,"Green, Green, Green",Creature , Lizard,7,7,Trample, ,Its frill inspired the design of efficient aether collectors.,,104,Svetlin Velinov,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423771&type=card
13,Aid from the Cowl,Aether Revolt,"
Rare",5,3,"Green, Green",Enchantment,, ,,"Revolt — At the beginning of your end step, if a permanent you controlled left the battlefield this turn, reveal the top card of your library. If it's a permanent card, you may put it onto the battlefield. Otherwise, you may put it on the bottom of your library.", ,,,105,Viktor Titov,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423772&type=card
14,Airdrop Aeronauts,Aether Revolt,"
Uncommon",5,3,"White, White",Creature , Dwarf Scout,4,3,Flying, ,"""Supplies inbound. Keep that pressure on.""",,5,Greg Opalinski,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423672&type=card
16,"Ajani, Valiant Protector",Aether Revolt,"
Mythic Rare",6,4,"Green, White",Legendary Planeswalker , Ajani,4,,+2: Put two +1/+1 counters on up to one target creature., ,,,185,Anna Steinbauer,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=425692&type=card
17,Ajani's Aid,Aether Revolt,"
Rare",4,2,"Green, White",Enchantment,, ,,"When Ajani's Aid enters the battlefield, you may search your library and/or graveyard for a card named Ajani, Valiant Protector, reveal it, and put it into your hand. If you search your library this way, shuffle.", ,,,188,Terese Nielsen,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=425695&type=card
18,Ajani's Comrade,Aether Revolt,"
Uncommon",2,1,Green,Creature , Elf Soldier,2,2,Trample, ,"""I will go where the lion-man leads.""",,187,James Ryman,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=425694&type=card
19,Alley Evasion,Aether Revolt,"
Common",1,0,White,Instant,, ,,Choose one —, ,"""Sure, you know the law. But I know the streets.""",,6,Scott Murphy,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423673&type=card
20,Alley Strangler,Aether Revolt,"
Common",3,2,Black,Creature , Aetherborn Rogue,2,3,Menace, ,"""You never know what day might be your last.""",,52,Efflam Mercier,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423719&type=card
21,Audacious Infiltrator,Aether Revolt,"
Common",2,1,White,Creature , Dwarf Rogue,3,1,Audacious Infiltrator can't be blocked by artifact creatures., ,"""This little critter can turn all of you to scrap in under thirty seconds! Come on, who wants to be the first to go? Try and stop me!""",,7,Jakub Kasper,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423674&type=card
22,Augmenting Automaton,Aether Revolt,"
Common",1,1,none,Artifact Creature , Construct,1,1,: Augmenting Automaton gets +1/+1 until end of turn., ,"When you have taught an automaton how to build others of its kind, it is a small step to make it build itself.",,143,Jason Rainville,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423810&type=card
23,"Baral, Chief of Compliance",Aether Revolt,"
Rare",2,1,Blue,Legendary Creature , Human Wizard,1,3,Instant and sorcery spells you cast cost less to cast., ,"""The echo of silence is music to my ears.""",,28,Wesley Burt,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423695&type=card
24,Baral's Expertise,Aether Revolt,"
Rare",5,3,"Blue, Blue",Sorcery,, ,,Return up to three target artifacts and/or creatures to their owners' hands., ,"""Get out of my way.""",,29,Todd Lockwood,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423696&type=card
25,Barricade Breaker,Aether Revolt,"
Uncommon",7,7,none,Artifact Creature , Juggernaut,7,5,Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for .), ,"""The Consulate sought to crush us. Let's give them a taste of their own medicine.""",,144,Karl Kopinski,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423811&type=card
27,Bastion Inventor,Aether Revolt,"
Common",6,5,Blue,Creature , Vedalken Artificer,4,4,Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for .), ,"""This armor transcends the limitations of mere flesh and bone.""",,30,Tony Foti,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423697&type=card
28,Battle at the Bridge,Aether Revolt,"
Rare",1,0,"Variable Colorless, Black",Sorcery,, ,,Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for .), ,"""This is bigger than you. All of you.""",,53,Chris Rallis,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423720&type=card
29,Call for Unity,Aether Revolt,"
Rare",5,3,"White, White",Enchantment,, ,,"Revolt — At the beginning of your end step, if a permanent you controlled left the battlefield this turn, put a unity counter on Call for Unity.", ,"The ""leaking spire"" stands for liberation from Consulate control.",,9,John Severin Brassell,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423676&type=card
30,Caught in the Brights,Aether Revolt,"
Common",3,2,White,Enchantment , Aura, ,,Enchant creature, ,"While hunting aether, a gremlin may ignore other stimuli, including threats to its own life.",,10,Kieran Yanner,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423677&type=card
31,Chandra's Revolution,Aether Revolt,"
Common",4,3,Red,Sorcery,, ,,Chandra's Revolution deals 4 damage to target creature. Tap target land. That land doesn't untap during its controller's next untap step., ,"Chandra was driven by her anger, directed particularly at the man who had taken her father from her.",,77,Clint Cearley,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423744&type=card
33,Consulate Crackdown,Aether Revolt,"
Rare",5,3,"White, White",Enchantment,, ,,"When Consulate Crackdown enters the battlefield, exile all artifacts your opponents control until Consulate Crackdown leaves the battlefield.", ,"""The workshops are silent. Our creations have been seized. They have killed what made us alive.""",,11,Jonas De Ro,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423678&type=card
34,Consulate Dreadnought,Aether Revolt,"
Uncommon",1,1,none,Artifact , Vehicle,7,11,Crew 6 (Tap any number of creatures you control with total power 6 or more: This Vehicle becomes an artifact creature until end of turn.), ,"""It's like they planted another Bastion right in the middle of the harbor.""",,146,Cliff Childs,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423813&type=card
35,Consulate Turret,Aether Revolt,"
Common",3,3,none,Artifact,, ,,: You get (an energy counter)., ,"""Our watchtowers are well positioned. Why don't we arm them?""",,147,Eric Deschamps,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423814&type=card
36,Conviction,Aether Revolt,"
Common",2,1,White,Enchantment , Aura, ,,Enchant creature, ,"""There is no greater coward than one who believes in nothing.""",,12,John Stanko,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423679&type=card
37,Countless Gears Renegade,Aether Revolt,"
Common",2,1,White,Creature , Dwarf Artificer,2,2,"Revolt — When Countless Gears Renegade enters the battlefield, if a permanent you controlled left the battlefield this turn, create a 1/1 colorless Servo artifact creature token.", ,"""Go forth and cause trouble, my little one!""",,13,Dan Scott,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423680&type=card
38,Crackdown Construct,Aether Revolt,"
Uncommon",4,4,none,Artifact Creature , Construct,2,2,"Whenever you activate an ability of an artifact or creature that isn't a mana ability, Crackdown Construct gets +1/+1 until end of turn.", ,"""All buildings are subject to search. Resistance will be punished.""",,148,Johannes Voss,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423815&type=card
39,Cruel Finality,Aether Revolt,"
Common",3,2,Black,Instant,, ,,Target creature gets -2/-2 until end of turn. Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.), ,"Bitter the bite of a demon's steel, and deep the abyss it opens.",,54,Svetlin Velinov,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423721&type=card
40,Daredevil Dragster,Aether Revolt,"
Uncommon",3,3,none,Artifact , Vehicle,4,4,"At end of combat, if Daredevil Dragster attacked or blocked this combat, put a velocity counter on it. Then if it has two or more velocity counters on it, sacrifice it and draw two cards.", ,,,149,Titus Lunter,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423816&type=card
41,Daring Demolition,Aether Revolt,"
Common",4,2,"Black, Black",Sorcery,, ,,Destroy target creature or Vehicle., ,Living so close to death gives the aetherborn an unusual perspective on risk.,,55,Svetlin Velinov,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423722&type=card
42,Dark Intimations,Aether Revolt,"
Rare",5,2,"Blue, Black, Red",Sorcery,, ,,"Each opponent sacrifices a creature or planeswalker, then discards a card. You return a creature or planeswalker card from your graveyard to your hand, then draw a card.", ,,,128,Chase Stone,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423795&type=card
43,Dawnfeather Eagle,Aether Revolt,"
Common",5,4,White,Creature , Bird,3,3,Flying, ,"""It came to rest upon the angel's arm, and then the weight of their gazes fell upon me.""",,14,Sidharth Chaturvedi,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423681&type=card
44,Deadeye Harpooner,Aether Revolt,"
Uncommon",3,2,White,Creature , Dwarf Warrior,2,2,"Revolt — When Deadeye Harpooner enters the battlefield, if a permanent you controlled left the battlefield this turn, destroy target tapped creature an opponent controls.", ,"""It seems there's even better hunting down here.""",,15,Ryan Pancoast,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423682&type=card
45,Decommission,Aether Revolt,"
Common",3,2,White,Instant,, ,,Destroy target artifact or enchantment., ,"""A key weakness in the design is its vulnerability to repeated, forceful blows.""",,16,Josh Hass,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423683&type=card
48,Deft Dismissal,Aether Revolt,"
Uncommon",4,3,White,Instant,, ,,"Deft Dismissal deals 3 damage divided as you choose among one, two, or three target attacking or blocking creatures.", ,"""With spy thopters all around, how can the consuls be so blind to Tezzeret's manipulations?""",,17,Izzy,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423684&type=card
50,Disallow,Aether Revolt,"
Rare",3,1,"Blue, Blue",Instant,, ,,"Counter target spell, activated ability, or triggered ability. (Mana abilities can't be targeted.)", ,"""How easily your flames are quenched.""",,31,Min Yum,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423698&type=card
51,Dispersal Technician,Aether Revolt,"
Common",5,4,Blue,Creature , Vedalken Artificer,3,2,"When Dispersal Technician enters the battlefield, you may return target artifact to its owner's hand.", ,"As renegade forces closed in on the Aether Spire, Consulate blockades failed one by one.",,32,Scott Murphy,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423699&type=card
53,Efficient Construction,Aether Revolt,"
Uncommon",4,3,Blue,Enchantment,, ,,"Whenever you cast an artifact spell, create a 1/1 colorless Thopter artifact creature token with flying.", ,"For some of Ghirapur's aerowrights, building thopters is a byproduct of larger construction efforts.",,33,Jonas De Ro,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423700&type=card
54,Embraal Gear-Smasher,Aether Revolt,"
Common",3,2,Red,Creature , Human Warrior,2,3,", Sacrifice an artifact: Embraal Gear-Smasher deals 2 damage to each opponent.", ,"""A well-made wrench is a versatile, indispensable tool.""",,79,Joseph Meehan,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423746&type=card
55,Enraged Giant,Aether Revolt,"
Uncommon",6,5,Red,Creature , Giant,4,4,Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for .), ,"When fighting spilled over into Giant's Walk, the aether weapons and swooping airships angered the normally placid creatures.",,80,Anthony Palumbo,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423747&type=card
56,Exquisite Archangel,Aether Revolt,"
Mythic Rare",7,5,"White, White",Creature , Angel,5,5,Flying, ,A living invention born of a grand design.,,18,Brad Rigney,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423685&type=card
58,Felidar Guardian,Aether Revolt,"
Uncommon",4,3,White,Creature , Cat Beast,1,4,"When Felidar Guardian enters the battlefield, you may exile another target permanent you control, then return that card to the battlefield under its owner's control.", ,The loyalty of a felidar is hard won but worth the effort.,,19,Jakub Kasper,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423686&type=card
59,Fen Hauler,Aether Revolt,"
Common",7,6,Black,Creature , Insect,5,5,Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for .), ,"""Success is found where others fear to look.""",,58,Sidharth Chaturvedi,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423725&type=card
60,Filigree Crawler,Aether Revolt,"
Common",4,4,none,Artifact Creature , Insect,2,2,"When Filigree Crawler dies, create a 1/1 colorless Thopter artifact creature token with flying.", ,"""The most harmonious designs are based on relationships found in nature.""",,150,James Paick,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423817&type=card
61,Foundry Assembler,Aether Revolt,"
Common",5,5,none,Artifact Creature , Assembly-Worker,3,3,Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for .), ,"""They never tire, they never complain, and they never ask questions. Build more.""",,151,Karl Kopinski,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423818&type=card
62,Foundry Hornet,Aether Revolt,"
Uncommon",4,3,Black,Creature , Insect,2,3,Flying, ,Its buzzing is easily mistaken for the hum of a thopter's wings.,,59,Christopher Moeller,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423726&type=card
63,Fourth Bridge Prowler,Aether Revolt,"
Common",1,0,Black,Creature , Human Rogue,1,1,"When Fourth Bridge Prowler enters the battlefield, you may have target creature get -1/-1 until end of turn.", ,Renegades run the gamut from lofty sages to petty thieves.,,60,John Silva,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423727&type=card
64,Freejam Regent,Aether Revolt,"
Rare",6,4,"Red, Red",Creature , Dragon,4,4,Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for .), ,The dragons perching in Freejam's towers symbolize the zone's fierce independence.,,81,Volkan Baga,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423748&type=card
65,Frontline Rebel,Aether Revolt,"
Common",3,2,Red,Creature , Human Warrior,3,3,Frontline Rebel attacks each combat if able., ,"""Will you be strong and stand with me?""",,82,Winona Nelson,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423749&type=card
66,Ghirapur Osprey,Aether Revolt,"
Common",3,2,White,Creature , Bird,2,2,Flying, ,Many airship captains keep pets that share their love of the sky.,,20,Zezhou Chen,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423687&type=card
68,Glint-Sleeve Siphoner,Aether Revolt,"
Rare",2,1,Black,Creature , Human Rogue,2,1,Menace, ,,,62,Greg Opalinski,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423729&type=card
69,Gonti's Aether Heart,Aether Revolt,"
Mythic Rare",6,6,none,Legendary Artifact,, ,,"Whenever Gonti's Aether Heart or another artifact enters the battlefield under your control, you get (two energy counters).", ,"Despite the magic that sustains Gonti's life, the crime lord is often described as heartless.",,152,Vincent Proce,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423819&type=card
70,Gonti's Machinations,Aether Revolt,"
Uncommon",1,0,Black,Enchantment,, ,,"Whenever you lose life for the first time each turn, you get . (You get an energy counter. Damage causes loss of life.)", ,"""I am confident that all our enterprises can benefit from this little revolution.""",,63,Daarken,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423730&type=card
71,Greenbelt Rampager,Aether Revolt,"
Rare",1,0,Green,Creature , Elephant,3,4,"When Greenbelt Rampager enters the battlefield, pay (two energy counters). If you can't, return Greenbelt Rampager to its owner's hand and you get .", ,Subtlety is not a necessary part of sabotage.,,107,Filip Burburan,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423774&type=card
72,Greenwheel Liberator,Aether Revolt,"
Rare",2,1,Green,Creature , Elf Warrior,2,1,Revolt — Greenwheel Liberator enters the battlefield with two +1/+1 counters on it if a permanent you controlled left the battlefield this turn., ,"""I will not rest until every vestige of the Consulate—every banner, flag, and standard—has fallen.""",,108,Todd Lockwood,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423775&type=card
73,Gremlin Infestation,Aether Revolt,"
Uncommon",4,3,Red,Enchantment , Aura, ,,Enchant artifact, ,,,83,Slawomir Maniak,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423750&type=card
74,Heart of Kiran,Aether Revolt,"
Mythic Rare",2,2,none,Legendary Artifact , Vehicle,4,4,"Flying, vigilance", ,,,153,Jaime Jones,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423820&type=card
75,Herald of Anguish,Aether Revolt,"
Mythic Rare",7,5,"Black, Black",Creature , Demon,5,5,Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for .), ,,,64,Vincent Proce,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423731&type=card
77,Hidden Herbalists,Aether Revolt,"
Uncommon",2,1,Green,Creature , Human Druid,2,2,"Revolt — When Hidden Herbalists enters the battlefield, if a permanent you controlled left the battlefield this turn, add .", ,"In the cellars beneath Narnam House, a strange and deadly garden grows.",,110,Bastien L. Deharme,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423777&type=card
79,Highspire Infusion,Aether Revolt,"
Common",2,1,Green,Instant,, ,,Target creature gets +3/+3 until end of turn. You get (two energy counters)., ,"""If nothing else, the Inventors' Fair taught us that we're only beginning to discover aether's true potential.""",,111,Anna Steinbauer,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423778&type=card
80,Hinterland Drake,Aether Revolt,"
Common",3,2,Blue,Creature , Drake,2,3,Flying, ,"""As a kid, I dreamed of flying on those wild drakes. They inspired me to build wings of my own.""",,34,Lake Hurwitz,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423701&type=card
81,Hope of Ghirapur,Aether Revolt,"
Rare",1,1,none,Legendary Artifact Creature , Thopter,1,1,Flying, ,The renegades mounted an aether disruptor aboard a lightweight thopter to destroy Tezzeret's Planar Bridge.,,154,Lius Lasahido,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423821&type=card
83,Ice Over,Aether Revolt,"
Common",2,1,Blue,Enchantment , Aura, ,,Enchant artifact or creature, ,"""Slow the Consulate with whatever you've got!""",,35,Sidharth Chaturvedi,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423702&type=card
84,Illusionist's Stratagem,Aether Revolt,"
Uncommon",4,3,Blue,Instant,, ,,"Exile up to two target creatures you control, then return those cards to the battlefield under their owner's control.", ,"""When everything hangs on a single moment, be sure you choose the right moment.""",,36,Svetlin Velinov,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423703&type=card
85,Implement of Combustion,Aether Revolt,"
Common",1,1,none,Artifact,, ,,", Sacrifice Implement of Combustion: It deals 1 damage to target player or planeswalker.", ,"A dream of fire lies coiled inside, waiting for its glorious awakening.",,155,Efflam Mercier,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423822&type=card
86,Implement of Examination,Aether Revolt,"
Common",3,3,none,Artifact,, ,,", Sacrifice Implement of Examination: Draw a card.", ,A tool to see the unseen.,,156,Darek Zabrocki,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423823&type=card
87,Implement of Ferocity,Aether Revolt,"
Common",1,1,none,Artifact,, ,,", Sacrifice Implement of Ferocity: Put a +1/+1 counter on target creature. Activate only as a sorcery.", ,,,157,Jason Kang,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423824&type=card
88,Implement of Improvement,Aether Revolt,"
Common",1,1,none,Artifact,, ,,", Sacrifice Implement of Improvement: You gain 2 life.", ,A mystery in metal.,,158,Kieran Yanner,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423825&type=card
89,Implement of Malice,Aether Revolt,"
Common",2,2,none,Artifact,, ,,", Sacrifice Implement of Malice: Target player discards a card. Activate only as a sorcery.", ,,,159,Titus Lunter,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423826&type=card
90,Indomitable Creativity,Aether Revolt,"
Mythic Rare",3,0,"Variable Colorless, Red, Red, Red",Sorcery,, ,,"Destroy X target artifacts and/or creatures. For each permanent destroyed this way, its controller reveals cards from the top of their library until an artifact or creature card is revealed and exiles that card. Those players put the exiled cards onto the battlefield, then shuffle.", ,,,85,Deruchenko Alexander,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423752&type=card
92,Inspiring Statuary,Aether Revolt,"
Rare",3,3,none,Artifact,, ,,Nonartifact spells you cast have improvise. (Your artifacts can help cast those spells. Each artifact you tap after you're done activating mana abilities pays for .), ,Ghirapur's most celebrated inventors have been immortalized in clockwork.,,160,Kirsten Zirngibl,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423827&type=card
93,Invigorated Rampage,Aether Revolt,"
Uncommon",2,1,Red,Instant,, ,,Choose one —, ,Gremlins can change from pest to problem to plague in the span of a moment.,,86,Craig J Spearing,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423753&type=card
94,Ironclad Revolutionary,Aether Revolt,"
Uncommon",6,4,"Black, Black",Creature , Aetherborn Artificer,4,4,"When Ironclad Revolutionary enters the battlefield, you may sacrifice an artifact. If you do, put two +1/+1 counters on Ironclad Revolutionary and each opponent loses 2 life.", ,"As the rebellion spread, renegade ingenuity outpaced the Consulate's greatest fears.",,65,Eric Deschamps,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423732&type=card
95,Irontread Crusher,Aether Revolt,"
Common",4,4,none,Artifact , Vehicle,6,6,Crew 3 (Tap any number of creatures you control with total power 3 or more: This Vehicle becomes an artifact creature until end of turn.), ,"""We've been through a lot together.""",,161,Jason A. Engle,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423828&type=card
96,"Kari Zev, Skyship Raider",Aether Revolt,"
Rare",2,1,Red,Legendary Creature , Human Pirate,1,3,"First strike, menace", ,"Aboard her ship, the Dragon's Smile, Kari follows no one's rules but her own.",,87,Brad Rigney,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423754&type=card
97,Kari Zev's Expertise,Aether Revolt,"
Rare",3,1,"Red, Red",Sorcery,, ,,Gain control of target creature or Vehicle until end of turn. Untap it. It gains haste until end of turn., ,"""I was made for this!""",,88,Jason Rainville,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423755&type=card
98,Lathnu Sailback,Aether Revolt,"
Common",5,4,Red,Creature , Lizard,5,4,Gain control of target creature or Vehicle until end of turn. Untap it. It gains haste until end of turn., ,"Travelers to Lathnu, high on the Devra Cliffs, need not fear the political strife of Ghirapur . . . but they have other dangers to worry about.",,89,Christopher Burdett,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423756&type=card
100,Lifecraft Awakening,Aether Revolt,"
Uncommon",1,0,"Variable Colorless, Green",Instant,, ,,"Put X +1/+1 counters on target artifact you control. If it isn't a creature or Vehicle, it becomes a 0/0 Construct artifact creature.", ,"""It was made, yes, but that does not mean it cannot grow.""",,112,Raoul Vitale,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423779&type=card
101,Lifecraft Cavalry,Aether Revolt,"
Common",5,4,Green,Creature , Elf Warrior,4,4,Trample, ,"""I do not ask you to be tame. I only ask you to be true.""",,113,Svetlin Velinov,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423780&type=card
104,Lightning Runner,Aether Revolt,"
Mythic Rare",5,3,"Red, Red",Creature , Human Warrior,2,2,"Double strike, haste", ,"""Catch me if you can.""",,90,Raymond Swanland,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423757&type=card
105,Maulfist Revolutionary,Aether Revolt,"
Uncommon",3,1,"Green, Green",Creature , Human Warrior,3,3,Trample, ,,,115,Scott Murphy,,,,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=423782&type=card
